,name,t0,t1,armor,artist,attack,cardClass,classes,collectible,collectionText,cost,dbfId,durability,elite,entourage,faction,flavor,health,hideStats,howToEarn,howToEarnGolden,id,mechanics,multiClassGroup,overload,playRequirements,playerClass,race,rarity,referencedTags,set,spellDamage,targetingArrowText,text,type,card_class_num,cardwin,w,winrates
142,Blackwing Corruptor,-11.8776569366,30.422203064,,Greg Staples,5.0,NEUTRAL,,1.0,,5.0,2409.0,,,,,He got his name when he gave Blackwing some comic books and rock & roll records.,4.0,,"Unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.","Crafting unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.",BRM_034,[BATTLECRY],,,{u'REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND': 0},NEUTRAL,,COMMON,,BRM,,Deal 3 damage.,"<b>Battlecry:</b> If you're holding a Dragon, deal 3 damage.",MINION,0,9337.0,17375,0.537381294964
143,Blackwing Technician,-12.5706596375,29.9468231201,,Matt Dixon,2.0,NEUTRAL,,1.0,,3.0,2408.0,,,,,This is who you go to when your Blackwing needs a tune up. Don't go to a cut rate Blackwing tune up shop!,4.0,,"Unlocked in Molten Core, in the Blackrock Mountain adventure.","Crafting unlocked in Molten Core, in the Blackrock Mountain adventure.",BRM_033,[BATTLECRY],,,,NEUTRAL,,COMMON,,BRM,,,"<b>Battlecry:</b> If you're holding a Dragon, gain +1/+1.",MINION,0,2171.0,4336,0.500691881919
144,Blade Flurry,26.8950500488,20.0996189117,,Hideaki Takamura,,ROGUE,,1.0,,4.0,1064.0,,,,,"""Look, it's not just about waving daggers around really fast.  It's a lot more complicated than that."" - Shan, Rogue Trainer",,,,,CS2_233,,,,{u'REQ_WEAPON_EQUIPPED': 0},ROGUE,,RARE,,EXPERT1,,,Destroy your weapon and deal its damage to all enemy minions.,SPELL,8,11.0,58,0.189655172414
145,Blade of C'Thun,31.736000061,22.7801361084,,Steve Prescott,4.0,ROGUE,,1.0,,9.0,38861.0,,,,,C'Thun demands a sacrifice! Preferably a Deathwing.,4.0,,,,OG_282,"[BATTLECRY, RITUAL]",,,"{u'REQ_TARGET_IF_AVAILABLE': 0, u'REQ_MINION_TARGET': 0}",ROGUE,,EPIC,,OG,,,<b>Battlecry:</b> Destroy a minion. Add its Attack and Health to your C'Thun's <i>(wherever it is).</i>,MINION,8,147.0,297,0.494949494949
146,Bladed Cultist,28.4581127167,18.7955780029,,Jakub Kasber,1.0,ROGUE,,1.0,,1.0,38391.0,,,,,He has a poor understanding of the law of diminishing returns.,2.0,,,,OG_070,[COMBO],,,,ROGUE,,COMMON,,OG,,,<b>Combo:</b> Gain +1/+1.,MINION,8,160.0,407,0.39312039312
147,Bladestorm,6.22878170013,16.7334136963,,,,WARRIOR,,,,2.0,45585.0,,,,,,,,,,ICC_834h,,,,,WARRIOR,,,,ICECROWN,,,"<b>Hero Power</b>
 Deal $1 damage to all minions.",HERO_POWER,7,4.0,22,0.181818181818
148,Blastcrystal Potion,-43.0626220703,-3.38125252724,,Zoltan Boros,,WARLOCK,,1.0,,4.0,40957.0,,,,,"There's a fine line between ""potion"" and ""grenade"". Wait. Actually, there's not.",,,,,CFM_608,,,,"{u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",WARLOCK,,COMMON,,GANGS,,,Destroy a minion and one of your Mana Crystals.,SPELL,3,1158.0,2291,0.505456132693
149,Blazecaller,30.1797428131,1.72027480602,,Dave Allsop,6.0,NEUTRAL,,1.0,,7.0,41928.0,,,,,For when a flamecaller just won't do.,6.0,,,,UNG_847,[BATTLECRY],,,"{u'REQ_NONSELF_TARGET': 0, u'REQ_TARGET_IF_AVAILABE_AND_ELEMENTAL_PLAYED_LAST_TURN': 0}",NEUTRAL,ELEMENTAL,EPIC,,UNGORO,,,"<b>Battlecry:</b> If you played an Elemental last turn, deal 5 damage.",MINION,0,1590.0,2829,0.562036055143
150,Blessed Champion,27.0798206329,-31.2813243866,,Tyler Walpole,,PALADIN,,1.0,,5.0,1522.0,,,,,This card causes double the trouble AND double the fun.,,,,,EX1_355,,,,"{u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",PALADIN,,RARE,,EXPERT1,,,Double a minion's Attack.,SPELL,1,74.0,125,0.592
151,Blessing of Kings,35.2413406372,-34.7656135559,,Lucas Graciano,,PALADIN,,1.0,,4.0,943.0,,,,,"Given the number of kings who have been assassinated, are you sure you want their blessing?",,,Unlocked at Level 10.,Unlocked at Level 49.,CS2_092,,,,"{u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",PALADIN,,FREE,,CORE,,,Give a minion +4/+4. <i>(+4 Attack/+4 Health)</i>,SPELL,1,5341.0,9848,0.542343623071
152,Blessing of Might,28.0346031189,-28.3810863495,,Zoltan Boros,,PALADIN,,1.0,,1.0,70.0,,,,,"""As in, you MIGHT want to get out of my way."" - Toad Mackle, recently buffed.",,,Unlocked at Level 1.,Unlocked at Level 45.,CS2_087,,,,"{u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",PALADIN,,FREE,,CORE,,,Give a minion +3 Attack.,SPELL,1,332.0,721,0.460471567268
153,Blessing of Wisdom,28.4312534332,-29.3999462128,,Chippy,,PALADIN,,1.0,,1.0,1373.0,,,,,Apparently with wisdom comes the knowledge that you should probably be attacking every turn.,,,,,EX1_363,,,,"{u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",PALADIN,,COMMON,,EXPERT1,,,"Choose a minion. Whenever it attacks, draw a card.",SPELL,1,506.0,1023,0.494623655914
154,Blingtron 3000,-2.5626142025,-2.21397709846,,Jomaro Kindred,3.0,NEUTRAL,,1.0,,5.0,2087.0,,1.0,,,PREPARE PARTY SERVOS FOR IMMEDIATE DEPLOYMENT.,4.0,,,,GVG_119,[BATTLECRY],,,,NEUTRAL,MECHANICAL,LEGENDARY,,GVG,,,<b>Battlecry:</b> Equip a random weapon for each player.,MINION,0,4.0,21,0.190476190476
155,Blizzard,-13.316151619,57.5927505493,,Chris Seaman,,MAGE,,1.0,,6.0,457.0,,,,,This spell can be very Entertaining.,,,,,CS2_028,[FREEZE],,,,MAGE,,RARE,,EXPERT1,,,Deal $2 damage to all enemy minions and <b>Freeze</b> them.,SPELL,9,6164.0,12965,0.475433860393
156,Blood Imp,-41.2307548523,-5.72832012177,,Bernie Kang,0.0,WARLOCK,,1.0,,1.0,469.0,,,,,Imps are content to hide and viciously taunt everyone nearby.,1.0,,,,CS2_059,[STEALTH],,,,WARLOCK,DEMON,COMMON,,EXPERT1,,,"[x]  <b>Stealth</b>. At the end of your  
turn, give another random
 friendly minion +1 Health.",MINION,3,422.0,974,0.433264887064
157,Blood Knight,24.6292743683,-25.934305191,,Trent Kaniuga,3.0,NEUTRAL,,1.0,,3.0,755.0,,,,,"The Blood Knights get their holy powers from the Sunwell, which you should NOT bathe in.",3.0,,,,EX1_590,[BATTLECRY],,,,NEUTRAL,,EPIC,[DIVINE_SHIELD],EXPERT1,,,<b>Battlecry:</b> All minions lose <b>Divine Shield</b>. Gain +3/+3 for each Shield lost.,MINION,0,117.0,261,0.448275862069
158,Blood Pact,17.8677501678,-7.71242570877,,,,WARLOCK,,,,,185.0,,,,,,,,,,CS2_059o,,,,,WARLOCK,,,,EXPERT1,,,Increased Health.,ENCHANTMENT,3,0.0,1,0.0
159,Blood Razor,10.1606874466,37.3295478821,,Joe Wilson,2.0,WARRIOR,,1.0,,4.0,42700.0,2.0,,,,For the close shave that you've always wanted. Caution: Very sharp.,,,,,ICC_064,"[BATTLECRY, DEATHRATTLE]",,,,WARRIOR,,COMMON,,ICECROWN,,,"<b>Battlecry and Deathrattle:</b>
Deal 1 damage to all minions.",WEAPON,7,548.0,1112,0.492805755396
160,Blood To Ichor,7.60468435287,33.1274871826,,Jim Nelson,,WARRIOR,,1.0,,1.0,38918.0,,,,,"For his next trick, he turns the ichor back to blood and stuffs it back in you.",,,,,OG_314,,,,"{u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",WARRIOR,,RARE,,OG,,,"Deal $1 damage to a minion. If it survives, summon a 2/2 Slime.",SPELL,7,6527.0,13125,0.497295238095
161,Blood Warriors,11.6856355667,33.3354415894,,A.J. Nazzaro,,WARRIOR,,1.0,,3.0,38848.0,,,,,They have an uneasy rivalry with the Blood Paladins.,,,,,OG_276,,,,,WARRIOR,,EPIC,,OG,,,Add a copy of each damaged friendly minion to your hand.,SPELL,7,157.0,253,0.620553359684
162,Blood of The Ancient One,-18.3701267242,19.1602725983,,A. J. Nazzaro,9.0,NEUTRAL,,1.0,,9.0,38567.0,,,,,Add two cups of Blood of the Ancient One to one cup of lemon juice. Add just a dash of sugar and stir. Delicious!,9.0,,,,OG_173,,,,,NEUTRAL,,EPIC,,OG,,,"If you control two of these
at the end of your turn, merge them into 'The Ancient One'.",MINION,0,12.0,26,0.461538461538
163,Blood-Queen Lana'thel,-30.6781997681,-5.90720415115,,,,NEUTRAL,,,,,46646.0,,,,,,30.0,,,,FB_LK008h,,,,,NEUTRAL,,,,TB,,,,HERO,0,11.0,21,0.52380952381
164,Bloodbloom,-36.4043273926,-7.89654254913,,Tyler Walpole,,WARLOCK,,1.0,,2.0,41872.0,,,"[UNG_999t10, UNG_999t2, UNG_999t3, UNG_999t4, UNG_999t5, UNG_999t6, UNG_999t7, UNG_999t8, UNG_999t13, UNG_999t14]",,Help save mana.  Donate blood today!,,,,,UNG_832,,,,,WARLOCK,,EPIC,,UNGORO,,,The next spell you cast this turn costs Health instead of Mana.,SPELL,3,174.0,344,0.505813953488
165,Bloodfen Raptor,-16.3201618195,-14.4067296982,,Dan Brereton,3.0,NEUTRAL,,1.0,,2.0,216.0,,,,HORDE,"""Kill 30 raptors."" - Hemet Nesingwary",2.0,,,Unlocked at Hunter Level 57.,CS2_172,,,,,NEUTRAL,BEAST,FREE,,CORE,,,,MINION,0,200.0,529,0.378071833648
166,Bloodfury Potion,-41.143497467,-9.11081314087,,Raven Mimura,,WARLOCK,,1.0,,3.0,40393.0,,,,,You know what really makes my blood boil? The skyrocketing price of Bloodfury potions!,,,,,CFM_611,,,,"{u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",WARLOCK,,RARE,,GANGS,,,"[x]Give a minion +3 Attack.
If it's a Demon, also
give it +3 Health.",SPELL,3,364.0,681,0.534508076358
167,Bloodhoof Brave,8.62025165558,36.655921936,,Paul Mafayon,2.0,WARRIOR,,1.0,,4.0,38738.0,,,,,"He thought the set was called ""Flippers of the Old Cods"" and hungrily volunteered to be in it.  He is definitely going to get his hearing checked.",6.0,,,,OG_218,"[ENRAGED, TAUNT]",,,,WARRIOR,,COMMON,,OG,,,"<b>Taunt</b>
<b>Enrage:</b> +3 Attack.",MINION,7,5896.0,11458,0.514574969454
168,Bloodlust,45.8327789307,-3.52409076691,,Luca Zontini,,SHAMAN,,1.0,,5.0,1171.0,,,,,blaarghghLLGHRHARAAHAHHH!!,,,Unlocked at Level 2.,Unlocked at Level 40.,CS2_046,,,,,SHAMAN,,FREE,,CORE,,,Give your minions +3 Attack this turn.,SPELL,6,6514.0,8826,0.738046680263
169,Bloodmage Thalnos,-4.82903432846,11.0723047256,,Alex Horley Orlandelli,1.0,NEUTRAL,,1.0,,2.0,749.0,,1.0,,,He's in charge of the Annual Scarlet Monastery Blood Drive!,1.0,,,,EX1_012,"[DEATHRATTLE, SPELLPOWER]",,,,NEUTRAL,,LEGENDARY,,EXPERT1,1.0,,<b>Spell Damage +1</b>. <b>Deathrattle:</b> Draw a card.,MINION,0,19396.0,37196,0.521453919776
170,Bloodrage,14.3919811249,-7.83982849121,,,,WARRIOR,,,,,1521.0,,,,,,,,,,EX1_411e,,,,,WARRIOR,,,,EXPERT1,,,No durability loss.,ENCHANTMENT,7,1.0,2,0.5
171,Bloodreaver Gul'dan,-48.2016677856,-1.25807368755,5.0,Alex Horley Orlandelli,,WARLOCK,,1.0,,10.0,43415.0,,1.0,,,"""Still you refuse to bend your knee? None can escape death, you old fool. And in death… all will serve me…""",30.0,,,,ICC_831,[BATTLECRY],,,,WARLOCK,,LEGENDARY,,ICECROWN,,,<b>Battlecry:</b> Summon all friendly Demons that died this game.,HERO,3,408.0,694,0.587896253602
172,Bloodsail Corsair,-10.5065488815,-29.442735672,,Randy Gallegos,1.0,NEUTRAL,,1.0,,1.0,997.0,,,,,"Every pirate uses the same four digits to access Automated Gold Dispensers.  It's called the ""Pirate's Code"".",2.0,,,,NEW1_025,[BATTLECRY],,,,NEUTRAL,PIRATE,RARE,,EXPERT1,,,"[x]<b>Battlecry:</b> Remove
1 Durability from your
opponent's weapon.",MINION,0,11354.0,21911,0.518187211903
173,Bloodsail Cultist,20.4854049683,35.2796134949,,Matt Dixon,3.0,WARRIOR,,1.0,,3.0,38920.0,,,,,They're really just in it for the Blood Parrot.,4.0,,,,OG_315,[BATTLECRY],,,,WARRIOR,PIRATE,RARE,,OG,,,"<b>Battlecry:</b> If you control another Pirate, give your weapon +1/+1.",MINION,7,10668.0,20201,0.52809266868
174,Bloodsail Raider,21.8314685822,34.7885513306,,Jim Nelson,2.0,NEUTRAL,,1.0,,2.0,999.0,,,,,"""I only plunder on days that end in 'y'.""",3.0,,,,NEW1_018,[BATTLECRY],,,,NEUTRAL,PIRATE,COMMON,,EXPERT1,,,"<b>Battlecry:</b> Gain Attack equal to the Attack
of your weapon.",MINION,0,11476.0,23311,0.49229977264
175,Bloodthistle Toxin,33.8486404419,24.0809764862,,Nutchapol Thitinunthakorn,,ROGUE,,,,1.0,38938.0,,,,,,,,,,OG_080c,,,,"{u'REQ_FRIENDLY_TARGET': 0, u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",ROGUE,,,,OG,,,"Return a friendly minion to your hand.
It costs (2) less.",SPELL,8,249.0,496,0.502016129032
176,Bloodworm,-20.9569549561,-27.996843338,,Arthur Bozonnet,4.0,NEUTRAL,,1.0,,5.0,45329.0,,,,,"Queen Lana'thel insists on one of these, fried, every morning for breakfast.",4.0,,,,ICC_905,[LIFESTEAL],,,,NEUTRAL,BEAST,COMMON,,ICECROWN,,,<b>Lifesteal</b>,MINION,0,29.0,77,0.376623376623
177,Blowgill Sniper,38.8469810486,-22.0605125427,,Tyler West Studios,2.0,NEUTRAL,,1.0,,2.0,40493.0,,,,,Imagine how much further his darts would go if he had lungs instead of gills!,1.0,,,,CFM_647,[BATTLECRY],,,{u'REQ_TARGET_TO_PLAY': 0},NEUTRAL,MURLOC,COMMON,,GANGS,,,<b>Battlecry:</b> Deal 1 damage.,MINION,0,319.0,751,0.424766977364
178,Blubber Baron,22.6145133972,-27.1109790802,,Eva Widermann,1.0,NEUTRAL,,1.0,,3.0,40294.0,,,,,"When oil, railroad, steel, robber, and red are all already taken, your options are limited.",1.0,,,,CFM_064,,,,,NEUTRAL,,EPIC,[BATTLECRY],GANGS,,,"Whenever you summon a <b>Battlecry</b> minion while this is in your hand, gain +1/+1.",MINION,0,14.0,38,0.368421052632
179,Bluegill Warrior,33.0402069092,-20.2017688751,,Jakub Kasper,2.0,NEUTRAL,,1.0,,2.0,739.0,,,,,He just wants a hug.   A sloppy... slimy... hug.,1.0,,,Unlocked at Paladin Level 53.,CS2_173,[CHARGE],,,,NEUTRAL,MURLOC,FREE,,CORE,,,<b>Charge</b>,MINION,0,10051.0,19875,0.505710691824
180,Boar,9.83999252319,3.44668769836,,,4.0,NEUTRAL,,,,3.0,2543.0,,,,,,2.0,,,,AT_005t,[CHARGE],,,,NEUTRAL,BEAST,,,TGT,,,<b>Charge</b>,MINION,0,5.0,8,0.625
181,Bog Creeper,-7.22440719604,20.4579410553,,Matt Dixon,6.0,NEUTRAL,,1.0,,7.0,38534.0,,,,,"He's tried other things, but bog sidling, bog ambling, and bog trundling just aren't as effective as bog creeping.",8.0,,,,OG_153,[TAUNT],,,,NEUTRAL,,COMMON,,OG,,,<b>Taunt</b>,MINION,0,807.0,1654,0.487908101572
182,Bolf Ramshield,1.75290250778,19.6847400665,,Wayne Reynolds,3.0,NEUTRAL,,1.0,,6.0,2595.0,,1.0,,,"Bolf keeps coming in 2nd at the Grand Tournament.  It might be his year this year, if Lebron doesn't enter.",9.0,,,,AT_124,,,,,NEUTRAL,,LEGENDARY,,TGT,,,"Whenever your hero takes damage, this minion takes it instead.",MINION,0,31.0,98,0.316326530612
183,Bolster,13.2678508759,31.0471820831,,Mishi McCaig,,WARRIOR,,1.0,,2.0,2754.0,,,,,The best offense is a good defense.,,,,,AT_068,,,,,WARRIOR,,COMMON,[TAUNT],TGT,,,Give your <b>Taunt</b> minions +2/+2.,SPELL,7,63.0,167,0.377245508982
184,Bolvar Fordragon,35.0410575867,-24.2706127167,,Tooth,1.0,PALADIN,,1.0,,5.0,2031.0,,1.0,,,Spoiler alert: Bolvar gets melted and then sits on an ice throne and everyone forgets about him.,7.0,,,,GVG_063,,,,,PALADIN,,LEGENDARY,,GVG,,,"Whenever a friendly minion dies while this is in your hand, gain +1 Attack.",MINION,1,19.0,41,0.463414634146
185,Bomb Lobber,-10.6515645981,2.29363226891,,Luca Zontini,3.0,NEUTRAL,,1.0,,5.0,2067.0,,,,,He lobbies Orgrimmar daily on behalf of bombs.,3.0,,,,GVG_099,[BATTLECRY],,,,NEUTRAL,,RARE,,GVG,,,<b>Battlecry:</b> Deal 4 damage to a random enemy minion.,MINION,0,7.0,30,0.233333333333
186,Bomb Squad,12.3762273788,7.34084844589,,Mauricio Herrera,2.0,NEUTRAL,,1.0,,5.0,40952.0,,,,,Please don't explode!  Please don't explode!  Please don't explode!,2.0,,,,CFM_667,"[BATTLECRY, DEATHRATTLE]",,,"{u'REQ_TARGET_IF_AVAILABLE': 0, u'REQ_MINION_TARGET': 0, u'REQ_ENEMY_TARGET': 0}",NEUTRAL,,RARE,,GANGS,,,"[x]<b>Battlecry:</b> Deal 5 damage
to an enemy minion.
<b>Deathrattle:</b> Deal 5 damage
to your hero.",MINION,0,28.0,65,0.430769230769
187,Bone Baron,22.6794567108,17.2618293762,,Brian Despain,5.0,ROGUE,,1.0,,5.0,42712.0,,,,,"""Oil,"" ""Rail,"" and ""Blubber"" were already taken.",5.0,,,,ICC_065,[DEATHRATTLE],,,,ROGUE,,COMMON,,ICECROWN,,,<b>Deathrattle:</b> Add two 1/1 Skeletons to your hand.,MINION,8,38.0,81,0.469135802469
188,Bone Drake,-28.7435455322,8.79129886627,,Peter Stapleton,6.0,NEUTRAL,,1.0,,6.0,42439.0,,,,,"The bone drake brings all the dragons to the yard. He would teach you, but you have no cards.",5.0,,,,ICC_027,[DEATHRATTLE],,,,NEUTRAL,DRAGON,RARE,,ICECROWN,,,<b>Deathrattle:</b> Add a random Dragon to your hand.,MINION,0,362.0,663,0.546003016591
189,Boneguard Lieutenant,-7.5867638588,1.03602349758,,Slawomir Maniak,3.0,NEUTRAL,,1.0,,2.0,2495.0,,,,,"Underneath all that impressive armor, he's just skin and bones.  Okay, maybe just bones.",2.0,,,,AT_089,[INSPIRE],,,,NEUTRAL,,COMMON,,TGT,,,<b>Inspire:</b> Gain +1 Health.,MINION,0,31.0,57,0.543859649123
190,Bonemare,-30.6612415314,5.19116973877,,Ralph Horsely,5.0,NEUTRAL,,1.0,,7.0,42790.0,,,,,Attacks her job with unbridled enthusiasm.,5.0,,,,ICC_705,[BATTLECRY],,,"{u'REQ_FRIENDLY_TARGET': 0, u'REQ_MINION_TARGET': 0, u'REQ_TARGET_IF_AVAILABLE': 0}",NEUTRAL,,COMMON,[TAUNT],ICECROWN,,,<b>Battlecry:</b> Give a friendly minion +4/+4 and <b>Taunt</b>.,MINION,0,2965.0,5288,0.560703479576
191,Book Wyrm,-15.1021499634,28.6112422943,,Dave Allsop,3.0,NEUTRAL,,1.0,,6.0,39210.0,,,,,"His favorites are classic tragedies like ""The Hobbit"" and ""Grendel"".",6.0,,"Unlocked in the Spire, in One Night in Karazhan.","Crafting unlocked in the Spire, in One Night in Karazhan.",KAR_033,[BATTLECRY],,,"{u'REQ_NONSELF_TARGET': 0, u'REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND': 0, u'REQ_TARGET_MAX_ATTACK': 3, u'REQ_MINION_TARGET': 0, u'REQ_ENEMY_TARGET': 0}",NEUTRAL,DRAGON,RARE,,KARA,,,"<b>Battlecry:</b> If you're holding a Dragon, destroy an enemy minion with 3 or less Attack.",MINION,0,3459.0,6131,0.564182025771
192,Boom Bot,-7.49707221985,5.94509935379,,,1.0,NEUTRAL,,,,1.0,2235.0,,,,,,1.0,,,,GVG_110t,[DEATHRATTLE],,,,NEUTRAL,MECHANICAL,,,GVG,,,<b>Deathrattle:</b> Deal 1-4 damage to a random enemy.,MINION,0,19.0,34,0.558823529412
193,Booty Bay Bodyguard,8.47133350372,-18.5129394531,,Matt Cavotta,5.0,NEUTRAL,,1.0,,5.0,1140.0,,,,HORDE,You can hire him... until someone offers him enough gold to turn on you.,4.0,,,Unlocked at Shaman Level 55.,CS2_187,[TAUNT],,,,NEUTRAL,,FREE,,CORE,,,<b>Taunt</b>,MINION,0,99.0,258,0.383720930233
194,Boulderfist Ogre,-11.9756593704,-6.0116276741,,Brian Despain,6.0,NEUTRAL,,1.0,,6.0,1686.0,,,,,"""ME HAVE GOOD STATS FOR THE COST""",7.0,,,Unlocked at Warlock Level 51.,CS2_200,,,,,NEUTRAL,,FREE,,CORE,,,,MINION,0,114.0,286,0.398601398601
195,Bouncing Blade,1.35141766071,23.4055728912,,Andrew Hou,,WARRIOR,,1.0,,3.0,2018.0,,,,,Only goblins would think this was a good idea. Even they are starting to have their doubts.,,,,,GVG_050,,,,{u'REQ_MINIMUM_TOTAL_MINIONS': 1},WARRIOR,,EPIC,,GVG,,,Deal $1 damage to a random minion. Repeat until a minion dies.,SPELL,7,5.0,16,0.3125
196,Brann Bronzebeard,-18.5886878967,-0.978053748608,,Sam Nielson,2.0,NEUTRAL,,1.0,,3.0,2949.0,,1.0,,,Contains 75% more fiber than his brother Magni!,4.0,,"Unlocked in Uldaman, in the League of Explorers adventure.","Crafting unlocked in Uldaman, in the League of Explorers adventure.",LOE_077,[AURA],,,,NEUTRAL,,LEGENDARY,[BATTLECRY],LOE,,,Your <b>Battlecries</b> trigger twice.,MINION,0,9483.0,17127,0.553687160624
197,Brass Knuckles,15.2830839157,30.3120307922,,Anton Magdalina,2.0,WARRIOR,,1.0,,4.0,40438.0,3.0,,,,For the goon that wants to make a fashion statement.,,,,,CFM_631,,,,,WARRIOR,,EPIC,,GANGS,,,"[x]After your hero attacks,
give a random minion in
your hand +1/+1.",WEAPON,7,62.0,148,0.418918918919
198,Brave Archer,-26.5771656036,-24.4329185486,,Eva Widermann,2.0,HUNTER,,1.0,,1.0,2642.0,,,,,"This is a ""bearly"" concealed reference.",1.0,,,,AT_059,[INSPIRE],,,,HUNTER,,COMMON,,TGT,,,"<b>Inspire:</b> If your hand is empty, deal 2 damage to the enemy hero.",MINION,2,43.0,101,0.425742574257
199,Brawl,5.99592447281,37.4291191101,,Wayne Reynolds,,WARRIOR,,1.0,,5.0,75.0,,,,,Do you know the first rule of Brawl Club?,,,,,EX1_407,,,,{u'REQ_MINIMUM_TOTAL_MINIONS': 2},WARRIOR,,EPIC,,EXPERT1,,,Destroy all minions except one. <i>(chosen randomly)</i>,SPELL,7,4950.0,11057,0.447680202587
200,Breath of Sindragosa,-8.26321601868,56.5842781067,,Eric Braddock,,MAGE,,1.0,,1.0,43502.0,,,,,Is it cold in here or is it just Sindragosa?,,,,,ICC_836,,,,{u'REQ_MINIMUM_ENEMY_MINIONS': 1},MAGE,,COMMON,[FREEZE],ICECROWN,,,Deal $2 damage to a random enemy minion and <b>Freeze</b> it.,SPELL,9,152.0,336,0.452380952381
201,Briarthorn Toxin,33.6351776123,23.4933071136,,Matthew O'Connor,,ROGUE,,,,1.0,38940.0,,,,,,,,,,OG_080d,,,,"{u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",ROGUE,,,,OG,,,Give a minion +3 Attack.,SPELL,8,330.0,599,0.550918196995
202,Bright-Eyed Scout,-6.2261838913,-26.4253940582,,Trent Kaniuga,3.0,NEUTRAL,,1.0,,4.0,41096.0,,,,,Also inordinately excited for cupcakes.,4.0,,,,UNG_113,[BATTLECRY],,,,NEUTRAL,,EPIC,,UNGORO,,,<b>Battlecry:</b> Draw a card. Change its Cost to (5).,MINION,0,297.0,596,0.498322147651
203,Bring It On!,11.4337272644,37.4378318787,,Mike Azevedo,,WARRIOR,,1.0,,2.0,43505.0,,,,,"Brrr, it's cold in here. Let's hope she doesn't have an Auctioneer!",,,,,ICC_837,,,,,WARRIOR,,EPIC,,ICECROWN,,,Gain 10 Armor. Reduce the Cost of minions in your opponent's hand by (2).,SPELL,7,121.0,264,0.458333333333
204,Broom,20.6675491333,-4.190305233,,Jim Nelson,2.0,WARLOCK,,,,2.0,39198.0,,,,,,2.0,,,,KAR_025b,,,,,WARLOCK,,,,KARA,,,,MINION,3,1.0,5,0.2
205,Brrrloc,39.7816963196,-19.8104286194,,Jaemin Kim,2.0,SHAMAN,,1.0,,2.0,42678.0,,,,,"He may be frozen fish, but he fights fresh!",2.0,,,,ICC_058,[BATTLECRY],,,"{u'REQ_TARGET_IF_AVAILABLE': 0, u'REQ_ENEMY_TARGET': 0}",SHAMAN,MURLOC,COMMON,[FREEZE],ICECROWN,,,<b>Battlecry:</b> <b>Freeze</b> an enemy.,MINION,6,50.0,124,0.403225806452
206,Buccaneer,28.8919010162,20.2354640961,,Matt Dixon,2.0,ROGUE,,1.0,,1.0,2715.0,,,,,The best part of buccaneering is the pants.,1.0,,,,AT_029,,,,,ROGUE,PIRATE,COMMON,,TGT,,,"Whenever you equip a weapon, give it +1 Attack.",MINION,8,441.0,970,0.454639175258
207,Build-A-Beast,-21.6360359192,-28.8460617065,,,,NEUTRAL,,,,2.0,43183.0,,,,,,,,,,ICC_828p,,,,{u'REQ_HAND_NOT_FULL': 0},NEUTRAL,,,,ICECROWN,,,"<b>Hero Power</b>
Craft a custom Zombeast.",HERO_POWER,0,14.0,50,0.28
208,Burgle,28.5006313324,23.6568641663,,Matt Dixon,,ROGUE,,1.0,,3.0,2770.0,,,,,Yoink!,,,,,AT_033,,,,,ROGUE,,RARE,,TGT,,,Add 2 random class cards to your hand <i>(from your opponent's class)</i>.,SPELL,8,312.0,853,0.365767878077
209,Burgly Bully,-2.05964827538,11.3183717728,,Dan Scott,4.0,NEUTRAL,,1.0,,5.0,40954.0,,,,,He only burgles to pay the bills.  He is really just a bully at heart.,6.0,,,,CFM_669,,,,,NEUTRAL,,EPIC,,GANGS,,,"Whenever your opponent casts a spell, add a Coin to your hand.",MINION,0,1229.0,2175,0.565057471264
210,Burly Rockjaw Trogg,-0.183580502868,4.64418268204,,Aleksi Briclot,3.0,NEUTRAL,,1.0,,4.0,2036.0,,,,,He's burly because he does CrossFit.,5.0,,,,GVG_068,,,,,NEUTRAL,,COMMON,,GVG,,,"Whenever your opponent casts a spell, gain +2 Attack.",MINION,0,1.0,11,0.0909090909091
211,C'Thun,-2.43274331093,29.6195011139,,,6.0,NEUTRAL,,,,10.0,38856.0,,1.0,,,,6.0,,,,OG_279,,,,,NEUTRAL,,LEGENDARY,,OG,,,<b>Battlecry:</b> Deal damage equal to this minion's Attack randomly split among all enemies.,MINION,0,2633.0,4043,0.651249072471
